timestamp,frame_number,activity_type,face_center_x,face_center_y,details
2026-06-12T07:24:15.998755,1212,move_right,329.0,204.0,dx=151.0px
2026-06-12T07:24:18.256015,1252,move_right,329.0,200.0,dx=37.5px
2026-06-12T07:24:19.116250,1260,blink,381.5,220.0,
2026-06-12T07:24:19.116411,1260,move_right,381.5,220.0,dx=27.5px
2026-06-12T07:24:24.534867,1316,move_right,373.5,244.0,dx=20.5px
2026-06-12T07:24:25.822156,1328,move_right,415.5,242.0,dx=21.0px
2026-06-12T07:24:26.662564,1336,move_right,458.0,236.5,dx=28.5px
2026-06-12T07:24:28.370462,1352,move_left,449.5,239.0,dx=-32.0px
2026-06-12T07:24:29.224652,1360,move_left,415.0,244.0,dx=-20.5px
2026-06-12T07:24:34.871830,1408,move_left,371.0,252.0,dx=-25.5px
2026-06-12T07:24:37.000293,1424,move_right,396.0,253.5,dx=42.0px
2026-06-12T07:24:39.122869,1440,move_right,484.5,238.0,dx=39.5px
2026-06-12T07:24:43.426452,1472,move_left,445.5,247.0,dx=-39.0px
2026-06-12T07:24:44.984236,1484,move_right,452.0,246.5,dx=36.0px
2026-06-12T07:24:47.171722,1500,move_right,507.0,238.5,dx=23.0px
2026-06-12T07:25:34.849029,2440,blink,407.5,276.5,
2026-06-12T07:25:34.849147,2440,move_left,407.5,276.5,dx=-83.0px
2026-06-12T07:25:34.849184,2440,move_down,407.5,276.5,dy=38.0px
2026-06-12T07:25:36.043998,2468,move_left,317.5,276.5,dx=-90.0px
2026-06-12T07:25:36.385490,2472,blink,287.5,276.0,
2026-06-12T07:28:12.400631,7064,move_right,396.0,278.0,dx=108.5px
2026-06-12T07:28:36.940077,7312,blink,415.0,286.5,
2026-06-12T07:28:41.654748,7356,move_left,377.0,290.5,dx=-28.5px
2026-06-12T07:28:42.095432,7368,move_right,415.5,273.5,dx=38.5px
2026-06-12T07:29:15.248038,7880,move_left,329.5,280.0,dx=-92.0px
2026-06-12T07:29:30.944852,8044,move_right,461.5,262.0,dx=77.0px
2026-06-12T07:29:31.525059,8048,move_left,435.5,246.0,dx=-26.0px
2026-06-12T07:29:33.944739,8064,blink,403.0,256.0,
2026-06-12T07:29:37.585648,8088,blink,412.0,259.5,
2026-06-12T07:29:42.945790,8124,blink,413.5,266.5,
2026-06-12T07:29:44.625620,8136,blink,416.0,270.0,
2026-06-12T07:29:46.626732,8152,blink,412.0,271.0,
2026-06-12T07:30:09.299102,8512,move_left,394.0,274.0,dx=-22.0px
2026-06-12T07:30:09.862162,8516,blink,278.0,301.0,
2026-06-12T07:30:09.862323,8516,move_down,278.0,301.0,dy=27.0px
2026-06-12T07:30:10.405509,8520,move_left,219.5,317.0,dx=-58.5px
2026-06-12T07:30:16.390489,8564,move_left,106.0,349.0,dx=-85.5px
2026-06-12T07:30:36.231350,9124,move_right,433.0,263.5,dx=325.0px
2026-06-12T07:30:36.231489,9124,move_up,433.0,263.5,dy=-69.0px
2026-06-12T07:30:44.249545,9204,blink,406.0,250.0,
2026-06-12T07:30:44.249713,9204,move_left,406.0,250.0,dx=-32.0px
2026-06-12T07:30:44.624758,9212,move_left,310.0,276.5,dx=-96.0px
2026-06-12T07:30:44.624915,9212,move_down,310.0,276.5,dy=26.5px
2026-06-12T07:31:17.842164,9792,move_right,323.5,278.0,dx=38.0px
2026-06-12T07:31:17.842297,9792,move_up,323.5,278.0,dy=-29.0px
2026-06-12T07:31:24.148060,9848,blink,362.0,256.0,
2026-06-12T07:31:28.862989,9908,blink,430.0,240.0,
2026-06-12T07:31:28.863149,9908,move_right,430.0,240.0,dx=44.0px
2026-06-12T07:31:30.245397,9920,blink,442.5,261.5,
2026-06-12T07:31:49.863294,10232,blink,460.5,263.5,
2026-06-12T07:31:59.482824,10432,blink,385.5,264.0,
2026-06-12T07:31:59.482928,10432,move_left,385.5,264.0,dx=-75.0px
2026-06-12T07:32:10.943696,10660,move_down,371.0,298.5,dy=26.0px
